Tournament,year,month,day,City,Date_start_tournament,Prize,Surface,Indoor_flag,Currency,ID,pays
Mutua Madrid Open,2013,5,5,madrid,5/05/2013,3368265,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2013,5,12,rome,12/05/2013,2646795,Clay,0,euro,29,italy
Open de Nice Côte d Azur,2013,5,19,nice,19/05/2013,410200,Clay,0,euro,111,france
Power Horse Cup,2013,5,19,düsseldorf,19/05/2013,410200,Clay,0,euro,160,germany
French Open,2013,5,26,paris,26/05/2013,11315000,Clay,0,euro,32,france
AEGON Championships,2013,6,10,londres,10/06/2013,683665,Grass,0,euro,34,uk
Gerry Weber Open,2013,6,10,halle (westf.),10/06/2013,683665,Grass,0,euro,33,germany
Topshelf Open,2013,6,16,eastbourne,16/06/2013,468460,Grass,0,euro,95,uk
AEGON International,2013,6,17,bois-le-duc,16/06/2013,410200,Grass,0,euro,36,dutchland
Wimbledon,2013,6,24,wimbledon,24/06/2013,8929067.07,Grass,0,£,37,uk
Hall of Fame Championships,2013,7,8,newport,8/07/2013,605322.9815,Grass,0,$,40,usa
Mercedes Cup,2013,7,8,stuttgart,8/07/2013,410200,Clay,0,euro,42,germany
SkiStar Swedish Open,2013,7,8,båstad,8/07/2013,433770,Clay,0,euro,38,sweden
Claro Open Colombia,2013,7,15,bogota,15/07/2013,847452.174,Hard,0,$,140,colombia
German Open Tennis Championships,2013,7,15,hambourg,15/07/2013,1102500,Clay,0,euro,30,germany
ATP Vegeta Croatia Open,2013,7,22,umag,22/07/2013,410200,Clay,0,euro,43,croatia
BB&T Atlanta Open,2013,7,22,atlanta,22/07/2013,726387.5777,Hard,0,$,21,usa
Crédit Agricole Suisse Open Gstaad,2013,7,22,gstaad,22/07/2013,410200,Clay,0,euro,39,switzerland
Bet-At-Home Cup,2013,7,29,kitzbühel,29/07/2013,410200,Clay,0,euro,44,austria
Citi Open,2013,7,29,washington,29/07/2013,1720962.023,Hard,0,$,50,usa
Rogers Masters,2013,8,5,montréal,5/08/2013,3834389.556,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2013,8,11,cincinnati,11/08/2013,4090012.427,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2013,8,18,winston-salem,18/08/2013,763999.8795,Hard,0,$,120,usa
US Open,2013,8,26,flushing meadows,26/08/2013,0,Hard,0,$,52,usa
Open de Moselle,2013,9,16,metz,16/09/2013,410200,Hard,1,euro,230,france
St. Petersburg Open,2013,9,16,saint-pétersbourg,16/09/2013,605322.9815,Hard,1,$,65,russia
Malaysian Open,2013,9,23,kuala lumpur,23/09/2013,1162767.309,Hard,1,$,102,malaysia
Thailand Open,2013,9,23,bangkok,23/09/2013,753746.8085,Hard,1,$,88,thailand
Shanghai Masters,2013,10,6,shanghai,6/10/2013,5112517.195,Hard,0,$,59,china
Erste Bank Open,2013,10,14,vienne,14/10/2013,501355,Hard,1,euro,58,austria
Kremlin Cup,2013,10,14,moscou,14/10/2013,991772.1165,Hard,1,$,62,russia
Stockholm Open,2013,10,14,stockholm,14/10/2013,530165,Hard,1,euro,68,sweden
Swiss Indoors,2013,10,21,bâle,21/10/2013,1445835,Hard,1,euro,61,switzerland
Valencia Open 500,2013,10,21,valence,21/10/2013,1496095,Hard,1,euro,85,spain
BNP Paribas Masters,2013,10,28,paris,28/10/2013,2646495,Hard,1,euro,66,france
Masters Cup,2013,11,4,londres,4/11/2013,7968708,Hard,1,$,300,uk
Brisbane International,2014,1,1,brisbane,30/12/2013,601372.5477,Hard,0,$,70,australia
Chennai Open,2014,1,1,chennai,30/12/2013,531380.4725,Hard,0,$,2,india
Qatar Exxon Mobil Open,2014,1,1,doha,30/12/2013,1457246.032,Hard,0,$,3,qatar
Apia International,2014,1,6,sydney,6/01/2014,601372.5477,Hard,0,$,5,australia
Heineken Open,2014,1,6,auckland,6/01/2014,604720.3702,Hard,0,$,4,new-zealand
Australian Open,2014,1,13,melbourne,13/01/2014,23549984,Hard,0,AU$,6,australia
Open Sud de France,2014,2,3,montpellier,3/02/2014,426605,Hard,1,euro,201,france
PBZ Zagreb Indoors,2014,2,3,zagreb,3/02/2014,426605,Hard,1,euro,75,croatia
Royal Guard Open Chile ,2014,2,3,viña del mar,3/02/2014,566745.1691,Clay,0,$,72,chile
ABN AMRO World Tennis Tournament,2014,2,10,rotterdam,10/02/2014,1369305,Hard,1,euro,11,dutchland
Copa Claro,2014,2,10,buenos aires,10/02/2014,649490.8539,Clay,0,$,90,argentina
U.S. National Indoor Tennis Championships,2014,2,10,memphis,10/02/2014,755658.0113,Hard,1,$,10,usa
Delray Beach Open,2014,2,17,delray beach,17/02/2014,629716.1165,Hard,0,$,15,usa
Open 13,2014,2,17,marseille,17/02/2014,549260,Hard,1,euro,8,france
Rio Open,2014,2,17,rio de janeiro,17/02/2014,1740030.755,Clay,0,$,79,brasil
Abierto Mexicano,2014,2,24,acapulco,24/02/2014,1740030.755,Hard,0,$,87,mexico
Brasil Open,2014,2,24,são paulo,24/02/2014,629716.1165,Clay,1,$,93,brasil
Dubai Tennis Championships,2014,2,24,dubaï,24/02/2014,2561801.618,Hard,0,$,7,united arab emirates
BNP Paribas Open,2014,3,6,indian wells,6/03/2014,6961365.168,Hard,0,$,19,usa
Sony Ericsson Open,2014,3,19,miami,19/03/2014,6271029.55,Hard,0,$,20,usa
Grand Prix Hassan II,2014,4,7,casablanca,7/04/2014,426605,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2014,4,7,houston,7/04/2014,629716.1165,Clay,0,$,99,usa
Monte Carlo Masters,2014,4,13,monte-carlo,13/04/2014,2884675,Clay,0,euro,24,monaco
BRD Nastase Tiriac Trophy,2014,4,21,bucarest,21/04/2014,426605,Clay,0,euro,53,romania
Open Banco Sabadell ,2014,4,21,barcelone,21/04/2014,1845585,Clay,0,euro,25,spain
BMW Open,2014,4,28,munich,28/04/2014,426605,Clay,0,euro,27,germany
Portugal Open,2014,4,28,oeiras,28/04/2014,426605,Clay,0,euro,23,portugal
Mutua Madrid Open,2014,5,4,madrid,4/05/2014,3671405,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2014,5,11,rome,11/05/2014,2884675,Clay,0,euro,29,italy
Dusseldorf Open,2014,5,18,düsseldorf,18/05/2014,426605,Clay,0,euro,160,germany
Open de Nice Côte d Azur,2014,5,18,nice,18/05/2014,426605,Clay,0,euro,111,france
French Open,2014,5,25,paris,25/05/2014,11552000,Clay,0,euro,32,france
AEGON Championships,2014,6,9,londres,9/06/2014,711010,Grass,0,euro,34,uk
Gerry Weber Open,2014,6,9,halle (westf.),9/06/2014,711010,Grass,0,euro,33,germany
Topshelf Open,2014,6,15,eastbourne,15/06/2014,503185,Grass,0,euro,95,uk
AEGON International,2014,6,16,bois-le-duc,16/06/2014,426605,Grass,0,euro,36,dutchland
Wimbledon,2014,6,23,wimbledon,23/06/2014,9443695.8,Grass,0,£,37,uk
Hall of Fame Championships,2014,7,7,newport,7/07/2014,629716.1165,Grass,0,$,40,usa
Mercedes Cup,2014,7,7,stuttgart,7/07/2014,426605,Clay,0,euro,42,germany
SkiStar Swedish Open,2014,7,7,båstad,7/07/2014,426605,Clay,0,euro,38,sweden
bet-at-home Open,2014,7,14,hambourg,14/07/2014,1190700,Clay,0,euro,30,germany
Claro Open Colombia,2014,7,14,bogota,14/07/2014,881606.5486,Hard,0,$,140,colombia
ATP Vegeta Croatia Open,2014,7,21,umag,21/07/2014,426605,Clay,0,euro,43,croatia
BB&T Atlanta Open,2014,7,21,atlanta,21/07/2014,755658.0113,Hard,0,$,21,usa
Crédit Agricole Suisse Open Gstaad,2014,7,21,gstaad,21/07/2014,426605,Clay,0,euro,39,switzerland
Bet-At-Home Cup,2014,7,28,kitzbühel,28/07/2014,426605,Clay,0,euro,44,austria
Citi Open,2014,7,28,washington,28/07/2014,1859502.85,Hard,0,$,50,usa
Rogers Masters,2014,8,4,toronto,4/08/2014,4180686.367,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2014,8,10,cincinnati,10/08/2014,4459399.234,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2014,8,17,winston-salem,17/08/2014,794789.0083,Hard,0,$,120,usa
US Open,2014,8,25,flushing meadows,25/08/2014,23716240.43,Hard,0,$,52,usa
Open de Moselle,2014,9,15,metz,15/09/2014,426605,Hard,1,euro,230,france
Malaysian Open,2014,9,22,kuala lumpur,22/09/2014,1209626.731,Hard,1,$,102,malaysia
Shenzhen Open,2014,9,22,shenzhen,22/09/2014,784121.1452,Hard,0,$,80,china
China Open,2014,9,29,pékin,29/09/2014,3321876.895,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2014,9,29,tokyo,29/09/2014,1632495.241,Hard,0,$,57,japan
Shanghai Masters,2014,10,5,shanghai,5/10/2014,5574250.703,Hard,0,$,59,china
Erste Bank Open,2014,10,13,vienne,13/10/2014,521405,Hard,1,euro,58,austria
Kremlin Cup,2014,10,13,moscou,13/10/2014,1031740.447,Hard,1,$,62,russia
Stockholm Open,2014,10,13,stockholm,13/10/2014,521405,Hard,1,euro,68,sweden
Swiss Indoors,2014,10,20,bâle,20/10/2014,1458610,Hard,1,euro,61,switzerland
Valencia Open 500,2014,10,20,valence,20/10/2014,1615780,Hard,1,euro,85,spain
BNP Paribas Masters,2014,10,27,paris,27/10/2014,2884675,Hard,1,euro,66,france
Masters Cup,2014,11,9,londres,9/11/2014,8635256.5,Hard,1,$,300,uk
Brisbane International,2015,1,5,brisbane,4/01/2015,487525.5598,Hard,0,$,70,australia
Chennai Open,2015,1,5,chennai,5/01/2015,447682.9479,Hard,0,$,2,india
Qatar Exxon Mobil Open,2015,1,5,doha,5/01/2015,1253544.43,Hard,0,$,3,qatar
Apia International,2015,1,12,sydney,11/01/2015,487525.5598,Hard,0,$,5,australia
Heineken Open,2015,1,12,auckland,12/01/2015,515357.6934,Hard,0,$,4,new-zealand
Australian Open,2015,1,19,melbourne,19/01/2015,22410206.73,Hard,0,AU$,6,australia
Ecuador Open,2015,2,2,quito,2/02/2015,487525.5598,Clay,0,$,78,ecuador
Open Sud de France,2015,2,2,montpellier,2/02/2015,439405,Hard,1,euro,201,france
PBZ Zagreb Indoors,2015,2,2,zagreb,2/02/2015,439405,Hard,1,euro,75,croatia
ABN AMRO World Tennis Tournament,2015,2,9,rotterdam,9/02/2015,1478850,Hard,1,euro,11,dutchland
Brasil Open,2015,2,9,são paulo,9/02/2015,493344.9555,Clay,1,$,93,brasil
Memphis Open,2015,2,9,memphis,9/02/2015,650030.3813,Hard,1,$,10,usa
Delray Beach Open,2015,2,16,delray beach,16/02/2015,541691.9844,Hard,0,$,15,usa
Open 13,2015,2,16,marseille,16/02/2015,565735,Hard,1,euro,8,france
Rio Open,2015,2,16,rio de janeiro,16/02/2015,1569461.614,Clay,0,$,79,brasil
Abierto Mexicano,2015,2,23,acapulco,23/02/2015,1569461.614,Hard,0,$,87,mexico
Argentina Open,2015,2,23,buenos aires,23/02/2015,555366.7321,Clay,0,$,90,argentina
Dubai Tennis Championships,2015,2,23,dubaï,23/02/2015,2310677.321,Hard,0,$,7,united arab emirates
BNP Paribas Open,2015,3,12,indian wells,12/03/2015,5970550.189,Hard,0,$,19,usa
Sony Ericsson Open,2015,3,25,miami,25/03/2015,5970550.189,Hard,0,$,20,usa
Grand Prix Hassan II,2015,4,6,casablanca,6/04/2015,439405,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2015,4,6,houston,6/04/2015,541691.9844,Clay,0,$,99,usa
Monte Carlo Masters,2015,4,12,monte-carlo,12/04/2015,3288530,Clay,0,euro,24,monaco
BRD Nastase Tiriac Trophy,2015,4,20,bucarest,20/04/2015,439405,Clay,0,euro,53,romania
Open Banco Sabadell,2015,4,20,barcelone,20/04/2015,1993230,Clay,0,euro,25,spain
BMW Open,2015,4,27,munich,27/04/2015,439405,Clay,0,euro,27,germany
Istanbul Open,2015,4,27,istanbul,27/04/2015,439405,Clay,0,euro,100,turkey
Millenium Estoril Open,2015,4,27,estoril,27/04/2015,439405,Clay,0,euro,23,portugal
Mutua Madrid Open,2015,5,3,madrid,3/05/2015,4185405,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2015,5,10,rome,10/05/2015,3288530,Clay,0,euro,29,italy
Geneva Open,2015,5,17,genève,17/05/2015,439405,Clay,0,euro,98,switzerland
Open de Nice Côte d Azur,2015,5,17,nice,17/05/2015,439405,Clay,0,euro,111,france
French Open,2015,5,24,paris,24/05/2015,11024000,Clay,0,euro,32,france
Mercedes Cup,2015,6,8,stuttgart,8/06/2015,574965,Grass,0,euro,42,germany
Topshelf Open,2015,6,8,bois-le-duc,8/06/2015,537050,Grass,0,euro,36,dutchland
AEGON Championships,2015,6,15,londres,15/06/2015,1574640,Grass,0,euro,34,uk
Gerry Weber Open,2015,6,15,halle (westf.),15/06/2015,1574640,Grass,0,euro,33,germany
AEGON Open,2015,6,21,nottingham,21/06/2015,589160,Grass,0,euro,35,uk
Wimbledon,2015,6,29,wimbledon,29/06/2015,8004673.8,Grass,0,£,37,uk
Hall of Fame Championships,2015,7,13,newport,13/07/2015,541691.9844,Grass,0,$,40,usa
Claro Open Colombia,2015,7,20,bogota,20/07/2015,758368.7782,Hard,0,$,140,colombia
Konzum Croatia Open,2015,7,20,umag,20/07/2015,439405,Clay,0,euro,43,croatia
SkiStar Swedish Open,2015,7,20,båstad,20/07/2015,439405,Clay,0,euro,38,sweden
BB&T Atlanta Open,2015,7,27,atlanta,27/07/2015,650030.3813,Hard,0,$,21,usa
bet-at-home Open,2015,7,27,hambourg,27/07/2015,1285955,Clay,0,euro,30,germany
Suisse Open Gstaad,2015,7,27,gstaad,27/07/2015,439405,Clay,0,euro,39,switzerland
Citi Open,2015,8,3,washington,3/08/2015,1674049.857,Hard,0,$,50,usa
Generali Open,2015,8,3,kitzbühel,3/08/2015,439405,Clay,0,euro,44,austria
Rogers Masters,2015,8,10,montréal,10/08/2015,3980366.792,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2015,8,16,cincinnati,16/08/2015,4245723.469,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2015,8,23,winston-salem,23/08/2015,683693.0057,Hard,0,$,120,usa
US Open,2015,8,31,flushing meadows,31/08/2015,19293210.61,Hard,0,$,52,usa
Open de Moselle,2015,9,21,metz,21/09/2015,439405,Hard,1,euro,230,france
St. Petersburg Open,2015,9,21,saint-pétersbourg,21/09/2015,1142798.39,Hard,1,$,65,russia
Malaysian Open,2015,9,28,kuala lumpur,28/09/2015,1040540.124,Hard,1,$,102,malaysia
Shenzhen Open,2015,9,28,shenzhen,28/09/2015,674517.3332,Hard,0,$,80,china
China Open,2015,10,5,pékin,5/10/2015,2996250.952,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2015,10,5,tokyo,5/10/2015,1401364.847,Hard,0,$,57,japan
Shanghai Masters,2015,10,11,shanghai,11/10/2015,5307155.723,Hard,0,$,59,china
Erste Bank Open,2015,10,19,vienne,19/10/2015,1745040,Hard,1,euro,58,austria
Kremlin Cup,2015,10,19,moscou,19/10/2015,774800.6657,Hard,1,$,62,russia
Stockholm Open,2015,10,19,stockholm,19/10/2015,537050,Hard,1,euro,68,sweden
Swiss Indoors,2015,10,26,bâle,26/10/2015,1575295,Hard,1,euro,61,switzerland
Valencia Open 500,2015,10,26,valence,26/10/2015,537050,Hard,1,euro,85,spain
BNP Paribas Masters,2015,11,2,paris,2/11/2015,3288530,Hard,1,euro,66,france
Masters Cup,2015,11,15,londres,15/11/2015,7766591,Hard,1,$,300,uk
Brisbane International,2016,1,4,brisbane,3/01/2016,448052.1963,Hard,0,$,70,australia
Chennai Open,2016,1,4,chennai,4/01/2016,471025.9681,Hard,0,$,2,india
Qatar Exxon Mobil Open,2016,1,4,doha,4/01/2016,1316777.343,Hard,0,$,3,qatar
ASB Classic,2016,1,10,auckland,10/01/2016,513071.6786,Hard,0,$,4,new-zealand
Apia International,2016,1,11,sydney,11/01/2016,448052.1963,Hard,0,$,5,australia
Australian Open,2016,1,18,melbourne,18/01/2016,29323620.25,Hard,0,AU$,6,australia
Ecuador Open,2016,2,1,quito,1/02/2016,513071.6786,Clay,0,$,78,ecuador
Garanti Koza Sofia Open,2016,2,1,sofia,1/02/2016,463520,Hard,1,euro,81,bulgaria
Open Sud de France,2016,2,1,montpellier,1/02/2016,463520,Hard,1,euro,201,france
ABN AMRO World Tennis Tournament,2016,2,8,rotterdam,8/02/2016,1597155,Hard,1,euro,11,dutchland
Argentina Open,2016,2,8,buenos aires,8/02/2016,579430.5134,Clay,0,$,90,argentina
Memphis Open,2016,2,8,memphis,8/02/2016,684099.2611,Hard,1,$,10,usa
Delray Beach Open,2016,2,15,delray beach,15/02/2016,569020.0907,Hard,0,$,15,usa
Open 13,2016,2,15,marseille,15/02/2016,596790,Hard,1,euro,8,france
Rio Open,2016,2,15,rio de janeiro,15/02/2016,1475595.786,Clay,0,$,79,brasil
Abierto Mexicano,2016,2,22,acapulco,22/02/2016,1564718.081,Hard,0,$,87,mexico
Brasil Open,2016,2,22,são paulo,22/02/2016,482853.2267,Clay,0,$,93,brasil
Dubai Tennis Championships,2016,2,22,dubaï,22/02/2016,2489662.831,Hard,0,$,7,united arab emirates
BNP Paribas Open,2016,3,10,indian wells,10/03/2016,6790412.678,Hard,0,$,19,usa
Sony Ericsson Open,2016,3,23,miami,23/03/2016,6790412.678,Hard,0,$,20,usa
Grand Prix Hassan II,2016,4,4,marrakech,4/04/2016,463520,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2016,4,4,houston,4/04/2016,570082.7176,Clay,0,$,99,usa
Monte Carlo Masters,2016,4,10,monte-carlo,10/04/2016,3748925,Clay,0,euro,24,monaco
BRD Nastase Tiriac Trophy,2016,4,18,bucarest,18/04/2016,463520,Clay,0,euro,53,romania
Open Banco Sabadell,2016,4,18,barcelone,18/04/2016,2152690,Clay,0,euro,25,spain
BMW Open,2016,4,25,munich,25/04/2016,463520,Clay,0,euro,27,germany
Istanbul Open,2016,4,25,istanbul,25/04/2016,426530,Clay,0,euro,100,turkey
Millenium Estoril Open,2016,4,25,estoril,25/04/2016,463520,Clay,0,euro,23,portugal
Mutua Madrid Open,2016,5,1,madrid,1/05/2016,4771360,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2016,5,8,rome,8/05/2016,3748925,Clay,0,euro,29,italy
Geneva Open,2016,5,15,genève,15/05/2016,499645,Clay,0,euro,98,switzerland
Open de Nice Côte d Azur,2016,5,15,nice,15/05/2016,463520,Clay,0,euro,111,france
French Open,2016,5,22,paris,22/05/2016,16008750,Clay,0,euro,32,france
Mercedes Cup,2016,6,6,stuttgart,6/06/2016,606525,Grass,0,euro,42,germany
Topshelf Open,2016,6,6,bois-le-duc,6/06/2016,566525,Grass,0,euro,36,dutchland
AEGON Championships,2016,6,13,londres,13/06/2016,1802945,Grass,0,euro,34,uk
Gerry Weber Open,2016,6,13,halle (westf.),13/06/2016,1700610,Grass,0,euro,33,germany
AEGON Open,2016,6,19,nottingham,19/06/2016,648255,Grass,0,euro,35,uk
Wimbledon,2016,6,27,wimbledon,27/06/2016,10786854.73,Grass,0,£,37,uk
German Tennis Championships,2016,7,11,hambourg,11/07/2016,1388830,Clay,0,euro,30,germany
Hall of Fame Championships,2016,7,11,newport,11/07/2016,570082.7176,Grass,0,$,40,usa
SkiStar Swedish Open,2016,7,11,båstad,11/07/2016,463520,Clay,0,euro,38,sweden
Generali Open,2016,7,18,kitzbühel,18/07/2016,463520,Clay,0,euro,44,austria
Konzum Croatia Open,2016,7,18,umag,18/07/2016,463520,Clay,0,euro,43,croatia
Suisse Open Gstaad,2016,7,18,gstaad,18/07/2016,463520,Clay,0,euro,39,switzerland
Citi Open,2016,7,19,washington,18/07/2016,1803670.766,Hard,0,$,50,usa
Rogers Masters,2016,7,25,toronto,25/07/2016,4526945.475,Hard,0,$,202,canada
BB&T Atlanta Open,2016,8,1,atlanta,1/08/2016,684099.2611,Hard,0,$,21,usa
Abierto Mexicano Mifel,2016,8,10,cabo san lucas,8/08/2016,798110.2701,Hard,0,$,287,mexico
Western & Southern Financial Group Masters,2016,8,15,cincinnati,14/08/2016,4828737.044,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2016,8,21,winston-salem,21/08/2016,707593.2773,Hard,0,$,120,usa
US Open,2016,8,29,flushing meadows,29/08/2016,25626686.19,Hard,0,$,52,usa
Open de Moselle,2016,9,19,metz,19/09/2016,463520,Hard,1,euro,230,france
St. Petersburg Open,2016,9,19,saint-pétersbourg,19/09/2016,1022280.266,Hard,1,$,65,russia
Chengdu Open,2016,9,26,chengdu,26/09/2016,930811.3362,Hard,0,$,91,china
Shenzhen Open,2016,9,26,shenzhen,26/09/2016,709862.4284,Hard,0,$,80,china
China Open,2016,10,3,pékin,3/10/2016,3228337.945,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2016,10,3,tokyo,3/10/2016,1514912.98,Hard,0,$,57,japan
Shanghai Masters,2016,10,9,shanghai,9/10/2016,6035925.455,Hard,0,$,59,china
European Open,2016,10,17,anvers,17/10/2016,566525,Hard,1,euro,272,belgium
Kremlin Cup,2016,10,17,moscou,17/10/2016,793926.1768,Hard,1,$,62,russia
Stockholm Open,2016,10,17,stockholm,17/10/2016,566525,Hard,1,euro,68,sweden
Erste Bank Open,2016,10,24,vienne,24/10/2016,1884645,Hard,1,euro,58,austria
Swiss Indoors,2016,10,24,bâle,24/10/2016,1701320,Hard,1,euro,61,switzerland
BNP Paribas Masters,2016,10,31,paris,31/10/2016,3748925,Hard,1,euro,66,france
Masters Cup,2016,11,13,londres,13/11/2016,7748321,Hard,1,$,300,uk
Brisbane International,2017,1,1,brisbane,1/01/2017,494102.0627,Hard,0,$,70,australia
Chennai Open,2017,1,2,chennai,2/01/2017,505511.8913,Hard,0,$,2,india
Qatar Exxon Mobil Open,2017,1,2,doha,2/01/2017,1397636.222,Hard,0,$,3,qatar
Apia International,2017,1,8,sydney,8/01/2017,494102.0627,Hard,0,$,5,australia
ASB Classic,2017,1,8,auckland,8/01/2017,508482.9655,Hard,0,$,4,new-zealand
Australian Open,2017,1,16,melbourne,16/01/2017,33330242.4,Hard,0,AU$,6,australia
Ecuador Open,2017,2,6,quito,6/02/2017,544576.4332,Clay,0,$,78,ecuador
Garanti Koza Sofia Open,2017,2,6,sofia,6/02/2017,482060,Hard,1,euro,81,bulgaria
Open Sud de France,2017,2,6,montpellier,6/02/2017,482060,Hard,1,euro,201,france
ABN AMRO World Tennis Tournament,2017,2,13,rotterdam,13/02/2017,1724930,Hard,1,euro,11,dutchland
Argentina Open,2017,2,13,buenos aires,13/02/2017,617576.7425,Clay,0,$,90,argentina
Memphis Open,2017,2,13,memphis,13/02/2017,726105.6765,Hard,1,$,10,usa
Delray Beach Open,2017,2,20,delray beach,20/02/2017,603958.3778,Hard,0,$,15,usa
Open 13,2017,2,20,marseille,20/02/2017,620660,Hard,1,euro,8,france
Rio Open,2017,2,20,rio de janeiro,20/02/2017,1651103.87,Clay,0,$,79,brasil
Abierto Mexicano,2017,2,27,acapulco,27/02/2017,1684712.029,Hard,0,$,87,mexico
Brasil Open,2017,2,27,são paulo,27/02/2017,514645.4026,Clay,0,$,93,brasil
Dubai Tennis Championships,2017,2,27,dubaï,27/02/2017,2744176.747,Hard,0,$,7,united arab emirates
BNP Paribas Open,2017,3,9,indian wells,9/03/2017,7900402.557,Hard,0,$,19,usa
Sony Ericsson Open,2017,3,22,miami,22/03/2017,7900402.557,Hard,0,$,20,usa
Grand Prix Hassan II,2017,4,10,marrakech,10/04/2017,482060,Clay,0,euro,22,tunisia
U.S. Men's Clay Court Championships,2017,4,10,houston,10/04/2017,605088.0638,Clay,0,$,99,usa
Monte Carlo Masters,2017,4,16,monte-carlo,16/04/2017,4273775,Clay,0,euro,24,monaco
Gazprom Hungarian Open,2017,4,24,budapest,24/04/2017,482060,Clay,0,euro,53,romania
Open Banco Sabadell ,2017,4,24,barcelone,24/04/2017,2324905,Clay,0,euro,25,spain
BMW Open,2017,5,1,munich,1/05/2017,482060,Clay,0,euro,27,germany
Istanbul Open,2017,5,1,istanbul,1/05/2017,439005,Clay,0,euro,100,turkey
Millenium Estoril Open,2017,5,1,estoril,1/05/2017,482060,Clay,0,euro,23,portugal
Mutua Madrid Open,2017,5,7,madrid,7/05/2017,5439350,Clay,0,euro,107,spain
Internazionali BNL d'Italia,2017,5,14,rome,14/05/2017,4273775,Clay,0,euro,29,italy
Geneva Open,2017,5,21,genève,21/05/2017,482060,Clay,0,euro,98,switzerland
Lyon Open,2017,5,21,lyon,21/05/2017,482060,Clay,0,euro,64,france
French Open,2017,5,28,paris,28/05/2017,16790000,Clay,0,euro,32,france
Mercedes Cup,2017,6,12,stuttgart,12/06/2017,630785,Grass,0,euro,42,germany
Ricoh Open,2017,6,12,bois-le-duc,12/06/2017,589185,Grass,0,euro,36,dutchland
AEGON Championships,2017,6,19,londres,19/06/2017,1836660,Grass,0,euro,34,uk
Gerry Weber Open,2017,6,19,halle (westf.),19/06/2017,1836660,Grass,0,euro,33,germany
Antalya Open,2017,6,25,antalya,25/06/2017,439005,Grass,0,euro,271,turkey
AEGON International,2017,6,26,eastbourne,26/06/2017,635660,Grass,0,euro,95,uk
Wimbledon,2017,7,3,wimbledon,3/07/2017,13009916.36,Grass,0,£,37,uk
Croatia Open,2017,7,17,umag,17/07/2017,482060,Clay,0,euro,43,croatia
Hall of Fame Championships,2017,7,17,newport,17/07/2017,605088.0638,Grass,0,$,40,usa
SkiStar Swedish Open,2017,7,17,båstad,17/07/2017,482060,Clay,0,euro,38,sweden
BB&T Atlanta Open,2017,7,24,atlanta,24/07/2017,726105.6765,Hard,0,$,21,usa
German Tennis Championships,2017,7,24,hambourg,24/07/2017,1499940,Clay,0,euro,30,germany
Suisse Open Gstaad,2017,7,24,gstaad,24/07/2017,482060,Clay,0,euro,39,switzerland
Citi Open,2017,7,31,washington,31/07/2017,1977040.875,Hard,0,$,50,usa
Generali Open,2017,7,31,kitzbühel,31/07/2017,482060,Clay,0,euro,44,austria
Abierto Mexicano Mifel,2017,8,1,cabo san lucas,31/07/2017,720056.208,Hard,0,$,287,mexico
Rogers Masters,2017,8,7,montréal,7/08/2017,5266935.038,Hard,0,$,202,canada
Western & Southern Financial Group Masters,2017,8,13,cincinnati,13/08/2017,5618064.04,Hard,0,$,48,usa
Winston-Salem Open at Wake Forest University,2017,8,20,winston-salem,20/08/2017,751043.495,Hard,0,$,120,usa
US Open,2017,8,28,flushing meadows,28/08/2017,27330945.27,Hard,0,$,52,usa
Open de Moselle,2017,9,18,metz,18/09/2017,482060,Hard,1,euro,230,france
St. Petersburg Open,2017,9,18,saint-pétersbourg,18/09/2017,1129686,Hard,1,$,65,russia
Chengdu Open,2017,9,25,chengdu,25/09/2017,1162316.98,Hard,0,$,91,china
Shenzhen Open,2017,9,25,shenzhen,25/09/2017,753455.3746,Hard,0,$,80,china
China Open,2017,10,2,pékin,2/10/2017,3420779.583,Hard,0,$,76,china
Rakuten Japan Open Tennis Championships,2017,10,2,tokyo,2/10/2017,1766597.318,Hard,0,$,57,japan
Shanghai Masters,2017,10,8,shanghai,8/10/2017,6693265.285,Hard,0,$,59,china
European Open,2017,10,16,anvers,16/10/2017,589185,Hard,1,euro,272,belgium
Kremlin Cup,2017,10,16,moscou,16/10/2017,842677.9748,Hard,1,$,62,russia
Stockholm Open,2017,10,17,stockholm,16/10/2017,589185,Hard,1,euro,68,sweden
Erste Bank Open,2017,10,23,vienne,23/10/2017,2035415,Hard,1,euro,58,austria
Swiss Indoors,2017,10,23,bâle,23/10/2017,1837425,Hard,1,euro,61,switzerland
