Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
adidas International,2003,1,6,sydney,6/01/2003,364229.656,Dur,0,$
Australian Open,2003,1,13,melbourne,13/01/2003,5499078.264,Dur,0,$
Breil ATP,2003,1,27,milan,27/01/2003,401557.54,Moquette,1,$
Open 13,2003,2,10,marseille,10/02/2003,537295.3,Dur,1,$
Siebel Open,2003,2,11,san josé,10/02/2003,401557.54,Dur,1,$
Bellsouth Open,2003,2,10,viña del mar,10/02/2003,361967.36,Terre,0,$
Copa AT&T,2003,2,17,buenos aires,17/02/2003,401557.54,Terre,0,$
Kroger St. Jude,2003,2,17,memphis,17/02/2003,752213.42,Dur,1,$
ABN AMRO World Tennis Tournament,2003,2,17,rotterdam,17/02/2003,904918.4,Dur,1,$
Abierto Mexicano,2003,2,24,acapulco,24/02/2003,752213.42,Terre,0,$
Copenhagen Open,2003,2,24,dubaï,24/02/2003,1102869.3,Dur,0,$
Dubai Championships,2003,2,24,copenhague,24/02/2003,401557.54,Dur,1,$
International Championships,2003,3,3,delray beach,3/03/2003,401557.54,Dur,0,$
Franklin Templeton Tennis Classic,2003,3,3,scottsdale,3/03/2003,401557.54,Dur,0,$
Pacific Life Open,2003,3,10,indian wells,10/03/2003,2488525.6,Dur,0,$
NASDAQ-100 Open,2003,3,19,miami,17/03/2003,3393444,Dur,0,$
Grand Prix Hassan II,2003,4,7,casablanca,7/04/2003,424180.5,Terre,0,$
Estoril Open,2003,4,7,estoril,7/04/2003,565574,Terre,0,$
Monte Carlo Masters,2003,4,14,monte-carlo,14/04/2003,2488525.6,Terre,0,$
Open Seat Godo,2003,4,21,barcelone,21/04/2003,1018033.2,Terre,0,$
U.S. Men's Clay Court Championships,2003,4,21,houston,21/04/2003,401557.54,Terre,0,$
BMW Open,2003,4,28,munich,28/04/2003,401557.54,Terre,0,$
CAM Open Comunidad Valenciana,2003,4,28,valence,28/04/2003,424180.5,Terre,0,$
Telecom Italia Masters Roma,2003,5,5,rome,5/05/2003,2488525.6,Terre,0,$
Hamburg TMS,2003,5,12,hambourg,12/05/2003,2488525.6,Terre,0,$
Internationaler Raiffeisen Grand Prix,2003,5,18,sankt pölten,19/05/2003,401557.54,Terre,0,$
French Open,2003,5,26,paris,26/05/2003,8147338.929,Terre,0,$
Gerry Weber Open,2003,6,9,halle (westf.),9/06/2003,876639.7,Gazon,0,$
Stella Artois,2003,6,9,londres,9/06/2003,904918.4,Gazon,0,$
Nottingham Open,2003,6,16,bois-le-duc,16/06/2003,401557.54,Gazon,0,$
Ordina Open,2003,6,16,nottingham,16/06/2003,401557.54,Gazon,0,$
Wimbledon,2003,6,23,wimbledon,23/06/2003,8177331.318,Gazon,0,$
Swedish Open,2003,7,7,båstad,7/07/2003,401557.54,Terre,0,$
Allianz Suisse Open,2003,7,7,gstaad,7/07/2003,593852.7,Terre,0,$
Hall of Fame Championships,2003,7,7,newport (ri),7/07/2003,401557.54,Gazon,0,$
Priority Telecom Dutch Open,2003,7,14,amersfoort,14/07/2003,401557.54,Terre,0,$
Mercedes Cup,2003,7,14,stuttgart,14/07/2003,752213.42,Terre,0,$
RCA Championships,2003,7,21,indianapolis,21/07/2003,650410.1,Dur,0,$
Generali Open,2003,7,21,kitzbühel,21/07/2003,1018033.2,Terre,0,$
Croatia Open,2003,7,21,umag,21/07/2003,424180.5,Terre,0,$
Mercedes-Benz Cup,2003,7,28,los angeles,28/07/2003,401557.54,Dur,0,$
Idea Prokom Open,2003,7,29,sopot,28/07/2003,537295.3,Terre,0,$
Legg Mason Classic,2003,7,28,washington,28/07/2003,650410.1,Dur,0,$
Montreal TMS,2003,8,4,montréal,4/08/2003,2488525.6,Dur,0,$
Western & Southern Financial Group Masters,2003,8,11,cincinnati,11/08/2003,2488525.6,Dur,0,$
TD Waterhouse Cup,2003,8,18,long island,18/08/2003,401557.54,Dur,0,$
US Open,2003,8,25,flushing meadows,25/08/2003,8298101.728,Dur,0,$
Brasil Open,2003,9,8,bucarest,8/09/2003,401557.54,Terre,0,$
Open Romania,2003,9,8,costa do sauípe,8/09/2003,401557.54,Dur,0,$
Thailand Open,2003,9,22,bangkok,22/09/2003,593852.7,Dur,1,$
Campionati Internazionali Di Sicilia,2003,9,22,palerme,22/09/2003,401557.54,Terre,0,$
Open de Moselle,2003,9,29,metz,29/09/2003,401557.54,Dur,1,$
Kremlin Cup,2003,9,29,moscou,29/09/2003,1102869.3,Moquette,1,$
Japan Open,2003,9,29,tokyo,29/09/2003,752213.42,Dur,0,$
Grand Prix de Lyon,2003,10,6,lyon,6/10/2003,876639.7,Moquette,1,$
CA Tennis Trophy,2003,10,6,vienne,6/10/2003,752213.42,Dur,1,$
Madrid Masters,2003,10,13,madrid,13/10/2003,2488525.6,Dur,1,$
Swiss Indoors,2003,10,21,bâle,20/10/2003,1102869.3,Moquette,1,$
St. Petersburg Open,2003,10,20,saint-pétersbourg,20/10/2003,1102869.3,Dur,1,$
Stockholm Open,2003,10,20,stockholm,20/10/2003,706967.5,Dur,1,$
BNP Paribas,2003,10,27,paris,27/10/2003,2488525.6,Moquette,1,$
Masters Cup,2003,11,10,houston,10/11/2003,4185247.6,Dur,0,$
AAPT Championships,2004,1,5,adélaïde,5/01/2004,441599.765,Dur,0,$
TATA Open,2004,1,5,chennai,5/01/2004,441599.765,Dur,0,$
Qatar Exxon Mobil Open,2004,1,5,doha,5/01/2004,1212844.425,Dur,0,$
Heineken Open,2004,1,11,auckland,12/01/2004,471454.397,Dur,0,$
adidas International,2004,1,12,sydney,12/01/2004,441599.765,Dur,0,$
Australian Open,2004,1,19,melbourne,19/01/2004,8379744.895,Dur,0,$
Indesit ATP Milano Indoor ,2004,2,10,san josé,9/02/2004,441599.765,Dur,1,$
Siebel Open,2004,2,9,viña del mar,9/02/2004,383134.444,Terre,0,$
Bellsouth Open,2004,2,9,milan,9/02/2004,441599.765,Moquette,1,$
ATP Buenos Aires 2004,2004,2,16,buenos aires,16/02/2004,441599.765,Terre,0,$
Kroger St. Jude,2004,2,16,memphis,16/02/2004,827222.095,Dur,1,$
ABN AMRO World Tennis Tournament,2004,2,16,rotterdam,16/02/2004,1002002.306,Dur,1,$
Brasil Open,2004,2,23,marseille,23/02/2004,746365.8,Dur,1,$
Open 13,2004,2,23,costa do sauípe,23/02/2004,441599.765,Terre,0,$
Abierto Mexicano,2004,3,1,acapulco,1/03/2004,779952.261,Terre,0,$
Dubai Championships,2004,3,1,dubaï,1/03/2004,1212844.425,Dur,0,$
Franklin Templeton Tennis Classic,2004,3,1,scottsdale,1/03/2004,441599.765,Dur,0,$
Pacific Life Open,2004,3,12,indian wells,8/03/2004,3145931.847,Dur,0,$
NASDAQ-100 Open,2004,3,24,miami,22/03/2004,3980617.6,Dur,0,$
Estoril Open,2004,4,12,estoril,12/04/2004,621971.5,Terre,0,$
U.S. Men's Clay Court Championships,2004,4,12,houston,12/04/2004,441599.765,Terre,0,$
CAM Open Comunidad Valenciana,2004,4,12,valence,12/04/2004,466478.625,Terre,0,$
Monte Carlo Masters,2004,4,19,monte-carlo,19/04/2004,2736674.6,Terre,0,$
Open Seat Godo,2004,4,26,barcelone,26/04/2004,1243943,Terre,0,$
BMW Open,2004,4,26,munich,26/04/2004,441599.765,Terre,0,$
Telecom Italia Masters Roma,2004,5,3,rome,3/05/2004,2736674.6,Terre,0,$
Hamburg TMS,2004,5,10,hambourg,10/05/2004,2736674.6,Terre,0,$
Grand Prix Hassan II,2004,5,16,casablanca,17/04/2004,441599.765,Terre,0,$
Internationaler Raiffeisen Grand Prix,2004,5,17,sankt pölten,17/05/2004,441599.765,Terre,0,$
French Open,2004,5,24,paris,24/05/2004,9282698.24,Terre,0,$
Gerry Weber Open,2004,6,7,halle (westf.),7/06/2004,954104.281,Gazon,0,$
Stella Artois,2004,6,7,londres,7/06/2004,954104.281,Gazon,0,$
Ordina Open,2004,6,14,bois-le-duc,14/06/2004,441599.765,Gazon,0,$
Nottingham Open,2004,6,14,nottingham,14/06/2004,441599.765,Gazon,0,$
Wimbledon,2004,6,21,wimbledon,21/06/2004,10360433.04,Gazon,0,$
Swedish Open,2004,7,5,båstad,5/07/2004,441599.765,Terre,0,$
Allianz Suisse Open,2004,7,5,gstaad,5/07/2004,653070.075,Terre,0,$
Hall of Fame Championships,2004,7,6,newport (ri),5/07/2004,441599.765,Gazon,0,$
Priority Telecom Dutch Open,2004,7,12,amersfoort,12/07/2004,441599.765,Terre,0,$
Mercedes-Benz Cup,2004,7,12,los angeles,12/07/2004,441599.765,Dur,0,$
Mercedes Cup,2004,7,12,stuttgart,12/07/2004,733926.37,Terre,0,$
RCA Championships,2004,7,19,indianapolis,19/07/2004,715267.225,Dur,0,$
Generali Open,2004,7,19,kitzbühel,19/07/2004,973793.4108,Terre,0,$
