Tournament,year,month,day,City,Date,Prize,Surface,Indoor_flag,Currency
Grand Prix Hassan II,2015,4,6,casablanca,6/04/2015,439405,Terre,0,€
U.S. Men's Clay Court Championships,2015,4,6,houston,6/04/2015,541691.9844,Terre,0,$
Monte Carlo Masters,2015,4,12,monte-carlo,13/04/2015,3288530,Terre,0,€
Open Banco Sabadell,2015,4,20,barcelone,20/04/2015,1993230,Terre,0,€
BRD Nastase Tiriac Trophy,2015,4,20,bucarest,20/04/2015,439405,Terre,0,€
Millenium Estoril Open,2015,4,27,estoril,27/04/2015,439405,Terre,0,€
Istanbul Open,2015,4,27,istanbul,27/04/2015,439405,Terre,0,€
BMW Open,2015,4,27,munich,27/04/2015,439405,Terre,0,€
Mutua Madrid Open,2015,5,3,madrid,3/05/2015,4185405,Terre,0,€
Internazionali BNL d'Italia,2015,5,10,rome,10/05/2015,3288530,Terre,0,€
Geneva Open,2015,5,17,genève,17/05/2015,439405,Terre,0,€
Open de Nice Côte d’Azur,2015,5,17,nice,17/05/2015,439405,Terre,0,€
French Open,2015,5,24,paris,24/05/2015,11024000,Terre,0,€
Topshelf Open,2015,6,8,bois-le-duc,8/06/2015,537050,Gazon,0,€
Mercedes Cup,2015,6,8,stuttgart,8/06/2015,574965,Gazon,0,€
Gerry Weber Open,2015,6,15,halle (westf.),15/06/2015,1574640,Gazon,0,€
AEGON Championships,2015,6,15,londres,15/06/2015,1574640,Gazon,0,€
AEGON Open,2015,6,21,nottingham,21/06/2015,589160,Gazon,0,€
Wimbledon,2015,6,29,wimbledon,29/06/2015,8004673.8,Gazon,0,£
Hall of Fame Championships,2015,7,13,newport,13/07/2015,541691.9844,Gazon,0,$
SkiStar Swedish Open,2015,7,20,båstad,20/07/2015,439405,Terre,0,€
Claro Open Colombia,2015,7,20,bogota,20/07/2015,758368.7782,Dur,0,$
Konzum Croatia Open,2015,7,20,umag,20/07/2015,439405,Terre,0,€
BB&T Atlanta Open,2015,7,27,hambourg,27/07/2015,1285955,Terre,0,€
Suisse Open Gstaad,2015,7,27,gstaad,27/07/2015,439405,Terre,0,€
bet-at-home Open,2015,7,27,atlanta,27/07/2015,650030.3813,Dur,0,$
Generali Open,2015,8,3,kitzbühel,3/08/2015,439405,Terre,0,€
Citi Open,2015,8,3,washington d.c.,3/08/2015,1674049.857,Dur,0,$
Rogers Masters,2015,8,10,montréal,10/08/2015,3980366.792,Dur,0,$
Western & Southern Financial Group Masters,2015,8,16,cincinnati,17/08/2015,4245723.469,Dur,0,$
Winston-Salem Open at Wake Forest University,2015,8,23,winston-salem,23/08/2015,683693.0057,Dur,0,$
US Open,2015,8,31,flushing meadows,31/08/2015,19293210.61,Dur,0,$
Open de Moselle,2015,9,21,metz,21/09/2015,439405,Dur,1,€
St. Petersburg Open,2015,9,21,saint-pétersbourg,21/09/2015,1142798.39,Dur,1,$
Malaysian Open,2015,9,28,kuala lumpur,28/09/2015,1040540.124,Dur,1,$
Shenzhen Open,2015,9,28,shenzhen,28/09/2015,674517.3332,Dur,0,$
China Open,2015,10,5,pékin,5/10/2015,2996250.952,Dur,0,$
Rakuten Japan Open Tennis Championships,2015,10,5,tokyo,5/10/2015,1401364.847,Dur,0,$
Shanghai Masters,2015,10,11,shanghai,12/10/2015,5307155.723,Dur,0,$
Kremlin Cup,2015,10,19,moscou,19/10/2015,774800.6657,Dur,1,$
Stockholm Open,2015,10,19,stockholm,19/10/2015,537050,Dur,1,€
Erste Bank Open,2015,10,19,vienne,19/10/2015,1745040,Dur,1,€
Swiss Indoors,2015,10,26,bâle,26/10/2015,1575295,Dur,1,€
Valencia Open 500,2015,10,26,valence,26/10/2015,537050,Dur,1,€
BNP Paribas Masters,2015,11,2,paris,2/11/2015,3288530,Dur,1,€
Masters Cup,2015,11,15,londres,15/11/2015,7766591,Dur,1,$
Brisbane International,2016,1,4,brisbane,3/01/2016,448052.1963,Dur,0,$
Chennai Open,2016,1,4,chennai,4/01/2016,471025.9681,Dur,0,$
Qatar Exxon Mobil Open,2016,1,4,doha,4/01/2016,1316777.343,Dur,0,$
ASB Classic,2016,1,10,auckland,11/01/2016,513071.6786,Dur,0,$
Apia International,2016,1,11,sydney,11/01/2016,448052.1963,Dur,0,$
Australian Open,2016,1,18,melbourne,18/01/2016,29323620.25,Dur,0,AU$
Open Sud de France,2016,2,1,montpellier,1/02/2016,463520,Dur,1,€
Ecuador Open,2016,2,1,quito,1/02/2016,513071.6786,Terre,0,$
Garanti Koza Sofia Open,2016,2,1,sofia,1/02/2016,463520,Dur,1,€
Argentina Open,2016,2,8,buenos aires,8/02/2016,579430.5134,Terre,0,$
Memphis Open,2016,2,8,memphis,8/02/2016,684099.2611,Dur,1,$
ABN AMRO World Tennis Tournament,2016,2,8,rotterdam,8/02/2016,1597155,Dur,1,€
Delray Beach Open,2016,2,15,delray beach,15/02/2016,569020.0907,Dur,0,$
Open 13,2016,2,15,marseille,15/02/2016,596790,Dur,1,€
Rio Open,2016,2,15,rio de janeiro,15/02/2016,1475595.786,Terre,0,$
Abierto Mexicano,2016,2,22,acapulco,22/02/2016,1564718.081,Dur,0,$
Dubai Tennis Championships,2016,2,22,dubaï,22/02/2016,2489662.831,Dur,0,$
Brasil Open,2016,2,22,são paulo,22/02/2016,482853.2267,Terre,0,$
BNP Paribas Open,2016,3,10,indian wells,10/03/2016,6790412.678,Dur,0,$
Sony Ericsson Open,2016,3,23,miami,23/03/2016,6790412.678,Dur,0,$
U.S. Men's Clay Court Championships,2016,4,4,houston,4/04/2016,570082.7176,Terre,0,$
Grand Prix Hassan II,2016,4,4,marrakech,4/04/2016,463520,Terre,0,€
Monte Carlo Masters,2016,4,10,monte-carlo,10/04/2016,3748925,Terre,0,€
Open Banco Sabadell,2016,4,18,barcelone,18/04/2016,2152690,Terre,0,€
BRD Nastase Tiriac Trophy,2016,4,18,bucarest,18/04/2016,463520,Terre,0,€
Millenium Estoril Open,2016,4,25,estoril,25/04/2016,463520,Terre,0,€
Istanbul Open,2016,4,25,istanbul,25/04/2016,426530,Terre,0,€
BMW Open,2016,4,25,munich,25/04/2016,463520,Terre,0,€
Mutua Madrid Open,2016,5,1,madrid,2/05/2016,4771360,Terre,0,€
Internazionali BNL d'Italia,2016,5,8,rome,9/05/2016,3748925,Terre,0,€
Geneva Open,2016,5,15,genève,15/05/2016,499645,Terre,0,€
Open de Nice Côte d’Azur,2016,5,15,nice,15/05/2016,463520,Terre,0,€
French Open,2016,5,22,paris,22/05/2016,16008750,Terre,0,€
Topshelf Open,2016,6,6,bois-le-duc,6/06/2016,566525,Gazon,0,€
Mercedes Cup,2016,6,6,stuttgart,6/06/2016,606525,Gazon,0,€
Gerry Weber Open,2016,6,13,halle (westf.),13/06/2016,1700610,Gazon,0,€
AEGON Championships,2016,6,13,londres,13/06/2016,1802945,Gazon,0,€
AEGON Open,2016,6,19,nottingham,19/06/2016,648255,Gazon,0,€
Wimbledon,2016,6,27,wimbledon,27/06/2016,10786854.73,Gazon,0,£
SkiStar Swedish Open,2016,7,11,båstad,11/07/2016,463520,Terre,0,€
German Tennis Championships,2016,7,11,hambourg,11/07/2016,1388830,Terre,0,€
Hall of Fame Championships,2016,7,11,newport,11/07/2016,570082.7176,Gazon,0,$
Suisse Open Gstaad,2016,7,18,gstaad,18/07/2016,463520,Terre,0,€
Generali Open,2016,7,18,kitzbühel,18/07/2016,463520,Terre,0,€
Konzum Croatia Open,2016,7,18,umag,18/07/2016,463520,Terre,0,€
Citi Open,2016,7,19,washington d.c.,18/07/2016,1803670.766,Dur,0,$
Rogers Masters,2016,7,25,toronto,25/07/2016,4526945.475,Dur,0,$
BB&T Atlanta Open,2016,8,1,atlanta,1/08/2016,684099.2611,Dur,0,$
Abierto Mexicano Mifel,2016,8,10,cabo san lucas,8/08/2016,798110.2701,Dur,0,$
Western & Southern Financial Group Masters,2016,8,15,cincinnati,14/08/2016,4828737.044,Dur,0,$
Winston-Salem Open at Wake Forest University,2016,8,21,winston-salem,21/08/2016,707593.2773,Dur,0,$
US Open,2016,8,29,flushing meadows,29/08/2016,25626686.19,Dur,0,$
Open de Moselle,2016,9,19,metz,19/09/2016,463520,Dur,1,€
St. Petersburg Open,2016,9,19,saint-pétersbourg,19/09/2016,1022280.266,Dur,1,$
Chengdu Open,2016,9,26,chengdu,26/09/2016,930811.3362,Dur,0,$
Shenzhen Open,2016,9,26,shenzhen,26/09/2016,709862.4284,Dur,0,$
China Open,2016,10,3,pékin,3/10/2016,3228337.945,Dur,0,$
Rakuten Japan Open Tennis Championships,2016,10,3,tokyo,3/10/2016,1514912.98,Dur,0,$
Shanghai Masters,2016,10,9,shanghai,10/10/2016,6035925.455,Dur,0,$
European Open,2016,10,17,anvers,17/10/2016,566525,Dur,1,€
Kremlin Cup,2016,10,17,moscou,17/10/2016,793926.1768,Dur,1,$
Stockholm Open,2016,10,17,stockholm,17/10/2016,566525,Dur,1,€
Swiss Indoors,2016,10,24,bâle,24/10/2016,1701320,Dur,1,€
Erste Bank Open,2016,10,24,vienne,24/10/2016,1884645,Dur,1,€
BNP Paribas Masters,2016,10,31,paris,31/10/2016,3748925,Dur,1,€
Masters Cup,2016,11,13,londres,13/11/2016,7748321,Dur,1,$
Brisbane International,2017,1,1,brisbane,1/01/2017,494102.0627,Dur,0,$
Chennai Open,2017,1,2,chennai,2/01/2017,505511.8913,Dur,0,$
Qatar Exxon Mobil Open,2017,1,2,doha,2/01/2017,1397636.222,Dur,0,$
ASB Classic,2017,1,8,auckland,9/01/2017,508482.9655,Dur,0,$
Apia International,2017,1,8,sydney,8/01/2017,494102.0627,Dur,0,$
Australian Open,2017,1,16,melbourne,16/01/2017,33330242.4,Dur,0,AU$
Open Sud de France,2017,2,6,montpellier,6/02/2017,482060,Dur,1,€
Ecuador Open,2017,2,6,quito,6/02/2017,544576.4332,Terre,0,$
Garanti Koza Sofia Open,2017,2,6,sofia,6/02/2017,482060,Dur,1,€
Argentina Open,2017,2,13,buenos aires,13/02/2017,617576.7425,Terre,0,$
Memphis Open,2017,2,13,memphis,13/02/2017,726105.6765,Dur,1,$
ABN AMRO World Tennis Tournament,2017,2,13,rotterdam,13/02/2017,1724930,Dur,1,€
Delray Beach Open,2017,2,20,delray beach,20/02/2017,603958.3778,Dur,0,$
Open 13,2017,2,20,marseille,20/02/2017,620660,Dur,1,€
Rio Open,2017,2,20,rio de janeiro,20/02/2017,1651103.87,Terre,0,$
Abierto Mexicano,2017,2,27,acapulco,27/02/2017,1684712.029,Dur,0,$
Dubai Tennis Championships,2017,2,27,dubaï,27/02/2017,2744176.747,Dur,0,$
Brasil Open,2017,2,27,são paulo,27/02/2017,514645.4026,Terre,0,$
BNP Paribas Open,2017,3,9,indian wells,9/03/2017,7900402.557,Dur,0,$
Sony Ericsson Open,2017,3,22,miami,22/03/2017,7900402.557,Dur,0,$
U.S. Men's Clay Court Championships,2017,4,10,houston,10/04/2017,605088.0638,Terre,0,$
Grand Prix Hassan II,2017,4,10,marrakech,10/04/2017,482060,Terre,0,€
Monte Carlo Masters,2017,4,16,monte-carlo,16/04/2017,4273775,Terre,0,€
Open Banco Sabadell ,2017,4,24,barcelone,24/04/2017,2324905,Terre,0,€
Gazprom Hungarian Open,2017,4,24,budapest,24/04/2017,482060,Terre,0,€
Millenium Estoril Open,2017,5,1,estoril,1/05/2017,482060,Terre,0,€
Istanbul Open,2017,5,1,istanbul,1/05/2017,439005,Terre,0,€
BMW Open,2017,5,1,munich,1/05/2017,482060,Terre,0,€
Mutua Madrid Open,2017,5,7,madrid,7/05/2017,5439350,Terre,0,€
Internazionali BNL d'Italia,2017,5,14,rome,14/05/2017,4273775,Terre,0,€
Geneva Open,2017,5,21,genève,21/05/2017,482060,Terre,0,€
Lyon Open,2017,5,21,lyon,21/05/2017,482060,Terre,0,€
French Open,2017,5,28,paris,28/05/2017,16790000,Terre,0,€
Ricoh Open,2017,6,12,bois-le-duc,12/06/2017,589185,Gazon,0,€
Mercedes Cup,2017,6,12,stuttgart,12/06/2017,630785,Gazon,0,€
Gerry Weber Open,2017,6,19,halle (westf.),19/06/2017,1836660,Gazon,0,€
AEGON Championships,2017,6,19,londres,19/06/2017,1836660,Gazon,0,€
Antalya Open,2017,6,25,antalya,25/06/2017,439005,Gazon,0,€
AEGON International,2017,6,26,eastbourne,26/06/2017,635660,Gazon,0,€
Wimbledon,2017,7,3,wimbledon,3/07/2017,13009916.36,Gazon,0,£
SkiStar Swedish Open,2017,7,17,båstad,17/07/2017,482060,Terre,0,€
Hall of Fame Championships,2017,7,17,newport,17/07/2017,605088.0638,Gazon,0,$
Croatia Open,2017,7,17,umag,17/07/2017,482060,Terre,0,€
BB&T Atlanta Open,2017,7,24,atlanta,24/07/2017,726105.6765,Dur,0,$
Suisse Open Gstaad,2017,7,24,gstaad,24/07/2017,482060,Terre,0,€
German Tennis Championships,2017,7,24,hambourg,24/07/2017,1499940,Terre,0,€
Generali Open,2017,7,31,kitzbühel,31/07/2017,482060,Terre,0,€
Abierto Mexicano Mifel,2017,8,1,cabo san lucas,31/07/2017,720056.208,Dur,0,$
Citi Open,2017,7,31,washington d.c.,31/07/2017,1977040.875,Dur,0,$
Rogers Masters,2017,8,7,montréal,7/08/2017,5266935.038,Dur,0,$
Western & Southern Financial Group Masters,2017,8,13,cincinnati,13/08/2017,5618064.04,Dur,0,$
Winston-Salem Open at Wake Forest University,2017,8,20,winston-salem,20/08/2017,751043.495,Dur,0,$
US Open,2017,8,28,flushing meadows,28/08/2017,27330945.27,Dur,0,$
Open de Moselle,2017,9,18,metz,18/09/2017,482060,Dur,1,€
St. Petersburg Open,2017,9,18,saint-pétersbourg,18/09/2017,1129686,Dur,1,$
Chengdu Open,2017,9,25,chengdu,25/09/2017,1162316.98,Dur,0,$
Shenzhen Open,2017,9,25,shenzhen,25/09/2017,753455.3746,Dur,0,$
China Open,2017,10,2,pékin,2/10/2017,3420779.583,Dur,0,$
Rakuten Japan Open Tennis Championships,2017,10,2,tokyo,2/10/2017,1766597.318,Dur,0,$
Shanghai Masters,2017,10,8,shanghai,8/10/2017,6693265.285,Dur,0,$
European Open,2017,10,16,anvers,16/10/2017,589185,Dur,1,€
Kremlin Cup,2017,10,16,moscou,16/10/2017,842677.9748,Dur,1,$
Stockholm Open,2017,10,17,stockholm,16/10/2017,589185,Dur,1,€
Swiss Indoors,2017,10,23,bâle,23/10/2017,1837425,Dur,1,€
Erste Bank Open,2017,10,23,vienne,23/10/2017,2035415,Dur,1,€
BNP Paribas Masters,2017,10,30,paris,30/10/2017,4273775,Dur,1,€
Masters Cup,2017,11,12,londres,12/11/2017,9037488,Dur,1,$
Brisbane International,2018,1,1,brisbane,31/12/2017,575328.6556,Dur,0,$
Qatar Exxon Mobil Open,2018,1,1,doha,1/01/2018,1578684.605,Dur,0,$
Tata Open,2018,1,1,pune,1/01/2018,615124.7464,Dur,0,$
ASB Classic,2018,1,7,auckland,8/01/2018,615124.7464,Dur,0,$
Sydney International,2018,1,7,sydney,7/01/2018,575328.6556,Dur,0,$
Australian Open,2018,1,15,melbourne,15/01/2018,38873503.23,Dur,0,AU$
Open Sud de France,2018,2,5,montpellier,5/02/2018,501345,Dur,1,€
Ecuador Open,2018,2,5,quito,5/02/2018,615124.7464,Terre,0,$
Garanti Koza Sofia Open,2018,2,5,sofia,5/02/2018,501345,Dur,1,€
Argentina Open,2018,2,12,buenos aires,12/02/2018,697140.1523,Terre,0,$
New York Open,2018,2,12,long island,12/02/2018,820166.3285,Dur,1,$
ABN AMRO World Tennis Tournament,2018,2,12,rotterdam,12/02/2018,1862925,Dur,1,€
Delray Beach Open,2018,2,19,delray beach,19/02/2018,682195.9135,Dur,0,$
Open 13,2018,2,19,marseille,19/02/2018,645485,Dur,1,€
Rio Open,2018,2,19,rio de janeiro,19/02/2018,2080690.788,Terre,0,$
Abierto Mexicano,2018,2,26,acapulco,26/02/2018,2015625.682,Dur,0,$
Dubai Tennis Championships,2018,2,26,dubaï,26/02/2018,3218882.297,Dur,0,$
Brasil Open,2018,2,26,são paulo,26/02/2018,633357.2085,Terre,0,$
BNP Paribas Open,2018,3,8,indian wells,8/03/2018,9781893.846,Dur,0,$
Sony Ericsson Open,2018,3,21,miami,21/03/2018,9781893.846,Dur,0,$
U.S. Men's Clay Court Championships,2018,4,9,houston,9/04/2018,683471.9405,Terre,0,$
Grand Prix Hassan II,2018,4,9,marrakech,9/04/2018,501345,Terre,0,€
Monte Carlo Masters,2018,4,15,monte-carlo,15/04/2018,4872105,Terre,0,€
Open Banco Sabadell ,2018,4,23,barcelone,23/04/2018,2510900,Terre,0,€
Gazprom Hungarian Open,2018,4,23,budapest,23/04/2018,501345,Terre,0,€
Millenium Estoril Open,2018,5,30,estoril,30/04/2018,501345,Terre,0,€
Istanbul Open,2018,5,30,istanbul,30/04/2018,426145,Terre,0,€
BMW Open,2018,5,30,munich,30/04/2018,501345,Terre,0,€
Mutua Madrid Open,2018,5,6,madrid,6/05/2018,6200860,Terre,0,€
Internazionali BNL d'Italia,2018,5,13,rome,13/05/2018,4872105,Terre,0,€
Geneva Open,2018,5,20,genève,20/05/2018,501345,Terre,0,€
Lyon Open,2018,5,20,lyon,20/05/2018,501345,Terre,0,€
French Open,2018,5,27,paris,27/05/2018,0,Terre,0,€
Ricoh Open,2018,6,11,bois-le-duc,11/06/2018,612755,Gazon,0,€
Mercedes Cup,2018,6,11,stuttgart,11/06/2018,656015,Gazon,0,€
Gerry Weber Open,2018,6,18,halle,18/06/2018,1983595,Gazon,0,€
AEGON Championships,2018,6,18,londres,18/06/2018,1983595,Gazon,0,€
Antalya Open,2018,6,24,antalya,24/06/2018,426145,Gazon,0,€
AEGON International,2018,6,25,eastbourne,25/06/2018,661085,Gazon,0,€
Wimbledon,2018,7,2,wimbledon,2/07/2018,0,Gazon,0,£
SkiStar Swedish Open,2018,7,16,båstad,16/07/2018,501345,Terre,0,€
Hall of Fame Championships,2018,7,16,newport,16/07/2018,683471.9405,Gazon,0,$
Croatia Open,2018,7,16,umag,16/07/2018,501345,Terre,0,€
BB&T Atlanta Open,2018,7,23,atlanta,23/07/2018,820166.3285,Dur,0,$
Suisse Open Gstaad,2018,7,23,gstaad,23/07/2018,501345,Terre,0,€
German Tennis Championships,2018,7,23,hambourg,23/07/2018,1619935,Terre,0,€
Generali Open,2018,7,30,kitzbühel,30/07/2018,501345,Terre,0,€
Abierto Mexicano Mifel,2018,8,30,cabo san lucas,30/07/2018,877826.7968,Dur,0,$
Citi Open,2018,7,30,washington d.c.,30/07/2018,2319136.057,Dur,0,$
Rogers Masters,2018,8,6,toronto,6/08/2018,6521264.609,Dur,0,$
Western & Southern Financial Group Masters,2018,8,12,cincinnati,12/08/2018,6956015.583,Dur,0,$
Winston-Salem Open at Wake Forest University,2018,8,19,winston-salem,19/08/2018,848330.9428,Dur,0,$
US Open,2018,8,27,flushing meadows,27/08/2018,0,Dur,0,$
Open de Moselle,2018,9,17,metz,17/09/2018,501345,Dur,1,€
St. Petersburg Open,2018,9,17,saint-pétersbourg,17/09/2018,1330564.843,Dur,1,$
Chengdu Open,2018,9,24,chengdu,24/09/2018,1312884.508,Dur,0,$
Shenzhen Open,2018,9,24,shenzhen,24/09/2018,900157.2686,Dur,0,$
China Open,2018,10,1,pékin,1/10/2018,4173908.725,Dur,0,$
Rakuten Japan Open Tennis Championships,2018,10,1,tokyo,1/10/2018,2186337.232,Dur,0,$
Shanghai Masters,2018,10,7,shanghai,7/10/2018,8695019.478,Dur,0,$
European Open,2018,10,15,anvers,15/10/2018,612755,Dur,1,€
Kremlin Cup,2018,10,15,moscou,15/10/2018,1119811.813,Dur,1,$
Stockholm Open,2018,10,15,stockholm,15/10/2018,612755,Dur,1,€
Swiss Indoors,2018,10,22,bâle,22/10/2018,1984420,Dur,1,€
Erste Bank Open,2018,10,22,vienne,22/10/2018,2198250,Dur,1,€
BNP Paribas Masters,2018,10,29,paris,29/10/2018,4872105,Dur,1,€
Masters Cup,2018,11,11,londres,11/11/2018,10429066.5,Dur,1,$
